"Average Prices and Volumes of Sales","","","","","","","","","",""
"By district for county - GREATER LONDON","","","","","","","","","",""
"2017","","","","","","","","","",""
"Age: any","","","","","","","","","",""
"Report created on: 2017-10-30","","","","","","","","","",""
"","Detached","Sales","Semi-det","Sales","Terraced","Sales","Flat/mais","Sales","Overall average","Total sales"
"BARKING AND DAGENHAM","435312","8","361105","133","324255","732","224376","303","303444","1176"
"BARNET","1525188","221","805775","559","600670","472","447216","1146","660351","2398"
"BEXLEY","590198","112","416916","754","344270","668","241253","513","358667","2047"
"BRENT","1432398","44","745505","225","822230","264","437806","735","606956","1268"
"BROMLEY","863935","497","541968","811","456032","747","330330","1029","502425","3084"
"CAMDEN","5008814","28","3280505","49","2051109","145","819218","1096","1135255","1318"
"CITY OF LONDON","0","0","0","0","950000","1","956839","133","956788","134"
"CITY OF WESTMINSTER","7431358","4","4724225","16","2991755","136","1440223","1516","1612183","1672"
"CROYDON","703189","321","486612","564","393243","826","297951","1373","400155","3084"
"EALING","1276300","47","768080","299","642553","541","416787","769","578365","1656"
"ENFIELD","1091492","67","626421","333","466460","691","310211","675","460614","1766"
"GREENWICH","922973","37","547093","248","482074","627","389445","984","451109","1896"
"HACKNEY","1671000","5","1173506","18","1037532","249","512408","1071","622943","1343"
"HAMMERSMITH AND FULHAM","2193700","3","1859885","30","1493796","322","728259","861","962509","1216"
"HARINGEY","1841333","15","1140763","75","846719","456","482451","650","679661","1196"
"HARROW","1027615","114","598726","351","524160","315","357869","457","530281","1237"
"HAVERING","669242","237","421110","788","355857","746","244003","549","383566","2320"
"HILLINGDON","803077","239","492657","605","436846","490","309840","621","458546","1955"
"HOUNSLOW","1084597","41","669063","307","567050","388","377918","712","510334","1448"
"ISLINGTON","1977500","6","2562273","24","1377661","214","602353","868","801278","1112"
"KENSINGTON AND CHELSEA","14218000","5","6416173","15","3876478","204","1485358","839","2073706","1063"
"KINGSTON UPON THAMES","1076661","148","657050","415","508957","265","387136","471","576779","1299"
"LAMBETH","1201029","17","1029626","114","892528","449","499571","1767","605574","2347"
"LEWISHAM","880200","35","695661","195","558076","697","384906","1208","477942","2135"
"MERTON","2465760","64","873764","184","610602","725","400309","601","636501","1574"
"NEWHAM","542500","6","508776","33","433723","576","387526","1335","403700","1950"
"REDBRIDGE","834162","68","594354","297","477515","741","301861","527","456929","1633"
"RICHMOND UPON THAMES","1474169","94","1121033","384","874870","592","592158","718","845716","1788"
"SOUTHWARK","1683130","23","1114299","70","832818","342","583419","1480","660573","1915"
"SUTTON","735382","176","508172","428","402880","504","285881","793","408564","1901"
"TOWER HAMLETS","880000","1","987833","6","907668","115","509916","1918","533925","2040"
"WALTHAM FOREST","747408","19","573953","180","531950","862","337867","697","461631","1758"
"WANDSWORTH","2575235","32","1442530","123","1014688","773","666455","2117","806265","3045"
"Total","1072511","2734","667543","8633","674682","15875","540447","30532","621502","57774"
